Determiner,Pronoun_Male,Pronoun_Female,Technical_Word,Relationship_And_Personal_Life,Preposition,Common_Word_Count,Gender
134,20,2,14,42,202,85,0
81,0,0,39,23,182,66,0
107,0,0,13,38,217,51,0
108,6,2,27,23,162,88,0
89,5,2,31,21,114,83,0
97,5,3,23,45,141,75,0
21,0,0,5,25,39,43,0
97,14,4,22,36,170,87,0
114,8,3,28,36,192,92,0
88,0,0,23,41,126,60,0
118,0,4,33,67,161,70,0
131,6,1,54,45,210,100,0
74,0,1,14,22,157,56,0
88,10,12,21,27,173,86,0
34,0,0,5,51,52,40,0
62,1,1,37,40,174,73,0
74,2,0,23,61,106,60,0
101,4,6,25,45,154,90,0
112,0,0,58,22,202,63,0
78,3,1,21,21,120,79,0
86,1,2,28,34,107,89,0
97,1,0,48,54,202,81,0
68,0,0,22,43,162,59,0
75,10,6,35,64,126,91,0
70,4,2,25,34,112,74,0
96,4,0,26,40,158,84,0
68,1,0,13,38,152,67,0
73,4,1,16,28,118,75,0
71,2,6,28,30,110,74,0
77,2,1,36,40,87,67,0
110,0,1,63,55,213,85,0
120,6,4,34,37,192,91,0
84,0,0,14,40,243,56,0
52,4,3,18,37,86,80,0
67,0,0,32,36,111,77,0
129,14,1,34,48,216,95,0
81,2,1,25,29,133,82,0
119,2,0,30,51,184,85,0
80,1,2,25,33,143,89,0
109,7,3,27,39,150,91,0
27,0,2,52,22,111,53,0
77,2,2,29,43,138,75,0
116,4,10,32,34,208,83,0
143,0,3,37,53,184,85,0
91,9,5,30,51,165,89,0
49,2,9,34,35,146,49,0
80,0,0,12,44,252,67,0
31,2,2,12,28,63,65,0
69,4,0,23,45,142,73,0
90,0,0,25,19,148,77,0
139,8,8,38,41,198,101,0
69,2,0,16,27,170,68,0
81,8,23,15,35,120,85,0
87,0,6,49,65,95,51,0
56,0,0,29,21,157,73,0
96,18,5,26,29,141,90,0
63,4,3,19,33,104,74,0
70,2,2,12,15,93,79,0
115,11,3,30,29,161,91,0
74,1,3,15,48,201,64,0
98,2,4,27,26,210,76,0
80,0,0,0,79,5,8,0
81,6,1,7,30,165,74,0
97,23,2,24,65,206,92,0
68,5,0,16,30,159,90,0
122,1,4,42,32,241,85,0
123,0,5,30,30,221,87,0
110,6,6,31,44,184,85,0
138,0,3,22,45,163,71,0
105,1,0,33,32,150,88,0
121,0,0,37,24,169,87,0
140,21,2,27,40,169,89,0
68,3,2,22,23,131,86,0
58,0,1,24,27,123,68,0
73,0,1,9,23,136,63,0
102,4,8,14,51,127,71,0
136,1,1,45,51,223,88,0
109,3,27,20,35,194,84,0
77,9,16,19,28,141,89,0
104,0,1,61,43,178,79,0
120,8,7,60,53,203,100,0
127,1,2,34,38,178,87,0
85,4,0,15,34,254,68,0
47,1,1,25,25,121,70,0
116,1,0,34,28,184,78,0
49,0,5,13,44,107,55,0
115,6,2,39,44,175,89,0
61,0,3,25,43,112,56,0
68,0,0,13,30,268,62,0
214,2,3,44,64,200,82,0
121,8,3,35,44,191,97,0
103,0,1,38,55,178,71,0
131,0,0,22,30,149,71,0
